Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,464180,-,-,-,7.45,3.9,0,213,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2015,1,1,0,30,161.38,0.15,2.5,0,0,0,0,15.700000000000001,77.62,987,0,0,0,0,19.700000000000003,59,0.9
2015,1,1,1,30,150.89000000000001,0.15,2.5,0,0,0,0,15.3,80.34,987,0,0,0,0,18.8,46,1
2015,1,1,2,30,138.05,0.15,2.5,0,0,0,0,15,83.49,987,0,0,0,0,17.8,38,1.1
2015,1,1,3,30,124.51,0.15,2.4000000000000004,0,0,0,0,14.5,85.36,987,0,0,0,0,17,33,1.3
2015,1,1,4,30,110.74000000000001,0.15,2.4000000000000004,0,0,0,0,13.9,85.77,988,0,0,0,0,16.3,31,1.4000000000000001
2015,1,1,5,30,96.96000000000001,0.15,2.4000000000000004,0,0,0,0,13.200000000000001,80.67,988,0,0,0,0,16.5,29,1.6
2015,1,1,6,30,83.18,0.15,2.4000000000000004,42,56,49,0,13.200000000000001,73.44,989,42,56,0,49,18,30,2.5
2015,1,1,7,30,69.89,0.15,2.4000000000000004,144,323,255,0,12.5,60.78,989,144,323,0,255,20.3,33,2.9000000000000004
2015,1,1,8,30,57.11,0.15,2.5,199,505,474,0,14.100000000000001,56.64,989,199,505,0,474,23.200000000000003,41,2.7
2015,1,1,9,30,45.4,0.15,2.5,231,613,662,0,15.5,51.300000000000004,989,231,613,0,662,26.3,57,2.5
2015,1,1,10,30,35.9,0.15,2.6,248,671,791,0,15.3,44.39,988,248,671,0,791,28.6,76,2.3000000000000003
2015,1,1,11,30,30.75,0.15,2.7,255,694,851,0,15.8,42.78,988,255,694,0,851,29.8,93,2.2
2015,1,1,12,30,32.14,0.15,2.7,263,670,830,0,16.6,43.82,987,263,670,0,830,30.3,105,2.2
2015,1,1,13,30,39.37,0.15,2.8000000000000003,251,629,738,0,17.3,46.07,986,251,629,0,738,30.200000000000003,115,2.3000000000000003
2015,1,1,14,30,49.96,0.15,2.8000000000000003,227,554,583,0,18,49.04,986,227,554,0,583,29.8,125,2
2015,1,1,15,30,62.2,0.15,2.8000000000000003,177,447,386,0,19,55.86,986,177,447,0,386,28.700000000000003,136,1.7000000000000002
2015,1,1,16,30,75.24,0.15,2.8000000000000003,107,229,165,0,19.700000000000003,68.43,987,107,229,0,165,26,152,1.3
2015,1,1,17,30,88.49,0.15,2.9000000000000004,3,1,3,0,20.8,85.46000000000001,987,3,1,0,3,23.400000000000002,168,1.1
2015,1,1,18,30,102.54,0.15,3,0,0,0,0,19.700000000000003,85.60000000000001,988,0,0,0,0,22.200000000000003,177,1.2000000000000002
2015,1,1,19,30,116.34,0.15,3.1,0,0,0,0,19.3,87.51,989,0,0,0,0,21.5,182,1.2000000000000002
2015,1,1,20,30,130.06,0.15,3.2,0,0,0,0,19.1,88.79,989,0,0,0,0,21,183,1.1
2015,1,1,21,30,143.42000000000002,0.15,3.3000000000000003,0,0,0,0,18.8,89.10000000000001,989,0,0,0,0,20.700000000000003,180,1
2015,1,1,22,30,155.67000000000002,0.15,3.3000000000000003,0,0,0,0,18.5,86.75,989,0,0,0,0,20.8,171,0.9
2015,1,1,23,30,163.9,0.15,3.3000000000000003,0,0,0,0,18.1,83.04,989,0,0,0,0,21.1,147,0.6000000000000001
2015,1,2,0,30,161.51,0.15,3.2,0,0,0,0,17.8,81.96000000000001,988,0,0,0,0,21,98,0.5
2015,1,2,1,30,151.03,0.15,3.2,0,0,0,0,17.6,84.62,988,0,0,0,0,20.3,51,0.6000000000000001
2015,1,2,2,30,138.17000000000002,0.15,3.1,0,0,0,3,17.5,88.2,987,0,0,0,0,19.5,28,0.8
2015,1,2,3,30,124.62,0.15,3.1,0,0,0,0,17.3,92.38,988,0,0,0,0,18.6,17,1
2015,1,2,4,30,110.85000000000001,0.15,3.1,0,0,0,0,17.1,94.92,988,0,0,0,0,17.900000000000002,13,1.1
2015,1,2,5,30,97.06,0.15,3,0,0,0,0,16.6,91.24,989,0,0,0,0,18.1,16,1.5
2015,1,2,6,30,83.27,0.15,3,39,53,45,0,16.7,82.9,990,39,53,0,45,19.700000000000003,21,2.5
2015,1,2,7,30,69.97,0.15,2.9000000000000004,142,312,249,0,16.5,71.60000000000001,991,142,312,0,249,21.900000000000002,28,2.9000000000000004
2015,1,2,8,30,57.160000000000004,0.15,2.9000000000000004,199,494,468,0,17.3,63.28,991,199,494,0,468,24.700000000000003,36,2.6
2015,1,2,9,30,45.43,0.15,2.8000000000000003,193,691,677,0,17,53.370000000000005,990,193,691,0,677,27.3,52,2.4000000000000004
2015,1,2,10,30,35.89,0.15,2.7,202,754,814,0,17.400000000000002,49.99,990,202,754,0,814,28.900000000000002,70,2.3000000000000003
2015,1,2,11,30,30.69,0.15,2.7,203,784,878,0,18.3,50.5,989,203,784,0,878,29.700000000000003,80,2.4000000000000004
2015,1,2,12,30,32.02,0.15,2.7,263,675,835,0,18.8,50.67,988,263,675,0,835,30.1,82,2.3000000000000003
2015,1,2,13,30,39.230000000000004,0.15,2.7,242,656,750,0,18.900000000000002,50.800000000000004,987,242,656,0,750,30.200000000000003,81,2.1
2015,1,2,14,30,49.82,0.15,2.7,214,596,598,0,18.900000000000002,51.44,987,214,596,0,598,30,80,1.6
2015,1,2,15,30,62.06,0.15,2.7,173,475,396,0,19.200000000000003,54.02,987,173,475,0,396,29.5,86,1.1
2015,1,2,16,30,75.12,0.15,2.7,106,254,171,0,18.8,56.9,988,106,254,0,171,28.200000000000003,127,0.6000000000000001
2015,1,2,17,30,88.39,0.15,2.6,4,1,4,0,19.400000000000002,64.87,989,4,1,0,4,26.5,185,0.5
2015,1,2,18,30,102.43,0.15,2.5,0,0,0,0,18.2,65.19,989,0,0,0,0,25.200000000000003,211,0.7000000000000001
2015,1,2,19,30,116.24000000000001,0.15,2.5,0,0,0,0,18.400000000000002,70.03,990,0,0,0,0,24.200000000000003,210,0.8
2015,1,2,20,30,129.97,0.15,2.4000000000000004,0,0,0,0,18,70.42,990,0,0,0,0,23.700000000000003,194,0.7000000000000001
2015,1,2,21,30,143.34,0.15,2.4000000000000004,0,0,0,0,17.7,72.44,990,0,0,0,0,22.900000000000002,156,0.6000000000000001
2015,1,2,22,30,155.63,0.15,2.4000000000000004,0,0,0,0,17.8,77.51,990,0,0,0,0,21.900000000000002,118,0.7000000000000001
2015,1,2,23,30,163.95000000000002,0.15,2.3000000000000003,0,0,0,0,17.900000000000002,82.47,990,0,0,0,0,21,92,0.8
2015,1,3,0,30,161.64000000000001,0.15,2.3000000000000003,0,0,0,0,17.900000000000002,86.98,990,0,0,0,0,20.1,76,1
2015,1,3,1,30,151.16,0.15,2.3000000000000003,0,0,0,0,17.7,91.38,989,0,0,0,0,19.1,68,1.1
2015,1,3,2,30,138.3,0.15,2.2,0,0,0,0,17.3,94.16,989,0,0,0,0,18.3,64,1.2000000000000002
2015,1,3,3,30,124.74000000000001,0.15,2.2,0,0,0,0,16.900000000000002,94.53,990,0,0,0,0,17.8,58,1.4000000000000001
2015,1,3,4,30,110.96000000000001,0.15,2.1,0,0,0,0,16.2,92.63,990,0,0,0,0,17.400000000000002,52,1.6
2015,1,3,5,30,97.16,0.15,2,0,0,0,0,15.200000000000001,86.52,991,0,0,0,0,17.5,47,2.1
2015,1,3,6,30,83.35000000000001,0.15,2,42,48,47,0,14.600000000000001,76.98,992,42,48,0,47,18.7,45,2.9000000000000004
2015,1,3,7,30,70.04,0.15,1.9000000000000001,146,318,255,0,14,65.12,992,146,318,0,255,20.8,44,3.4000000000000004
2015,1,3,8,30,57.22,0.15,1.9000000000000001,206,501,477,0,15,59.160000000000004,992,206,501,0,477,23.400000000000002,49,3.4000000000000004
2015,1,3,9,30,45.46,0.15,1.9000000000000001,244,606,669,0,14.9,50.42,992,244,606,0,669,26,59,3.5
2015,1,3,10,30,35.87,0.15,1.9000000000000001,263,662,799,0,14.9,44.95,991,263,662,0,799,27.900000000000002,68,3.3000000000000003
2015,1,3,11,30,30.61,0.15,2,274,683,862,0,14.8,42.01,990,274,683,0,862,29,73,3.1
2015,1,3,12,30,31.900000000000002,0.15,2,338,570,822,0,14.9,40.92,989,338,570,0,822,29.6,75,2.9000000000000004
