Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,464180,-,-,-,7.45,3.9,0,213,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2019,1,1,0,30,161.38,0.15,3.3000000000000003,0,0,0,0,18.8,87.62,988,0,0,0,0,20.900000000000002,20,1
2019,1,1,1,30,150.89000000000001,0.15,3.2,0,0,0,0,18.400000000000002,91.19,988,0,0,0,0,19.900000000000002,13,1.2000000000000002
2019,1,1,2,30,138.05,0.15,3.1,0,0,0,0,17.8,91.71000000000001,988,0,0,0,0,19.200000000000003,13,1.4000000000000001
2019,1,1,3,30,124.51,0.15,3,0,0,0,0,17.1,90.61,989,0,0,0,0,18.7,18,1.7000000000000002
2019,1,1,4,30,110.74000000000001,0.15,2.9000000000000004,0,0,0,0,16.5,90,989,0,0,0,0,18.2,21,2
2019,1,1,5,30,96.96000000000001,0.15,2.8000000000000003,0,0,0,0,16.1,88.16,990,0,0,0,0,18.1,23,2.4000000000000004
2019,1,1,6,30,83.18,0.15,2.7,30,5,31,0,16,83.45,991,30,5,0,31,18.900000000000002,24,2.9000000000000004
2019,1,1,7,30,69.89,0.15,2.7,178,146,228,0,16.400000000000002,75.56,991,178,146,0,228,20.900000000000002,28,3.1
2019,1,1,8,30,57.11,0.15,2.7,272,316,443,0,17.8,69.36,991,272,316,0,443,23.700000000000003,35,3.1
2019,1,1,9,30,45.4,0.15,2.7,349,379,615,0,18.2,60.84,990,349,379,0,615,26.400000000000002,47,3.3000000000000003
2019,1,1,10,30,35.9,0.15,2.7,381,446,743,0,18.8,55.58,989,381,446,0,743,28.5,61,3.2
2019,1,1,11,30,30.75,0.15,2.7,396,472,802,0,18.7,50.67,988,396,472,0,802,30.1,76,3.1
2019,1,1,12,30,32.14,0.15,2.8000000000000003,309,603,820,0,18.900000000000002,49.13,988,309,603,0,820,30.8,85,3
2019,1,1,13,30,39.37,0.15,2.8000000000000003,297,560,730,0,18.900000000000002,49,987,297,560,0,730,30.900000000000002,89,2.8000000000000003
