Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,464180,-,-,-,7.45,3.9,0,213,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2010,1,1,0,30,161.4,0.15,2.8000000000000003,0,0,0,0,19.200000000000003,89.22,987,0,0,0,0,21,111,0.8
2010,1,1,1,30,150.92000000000002,0.15,2.7,0,0,0,0,19,89.85000000000001,987,0,0,0,0,20.700000000000003,102,0.8
2010,1,1,2,30,138.08,0.15,2.7,0,0,0,0,18.7,89.85000000000001,987,0,0,0,0,20.400000000000002,91,0.7000000000000001
2010,1,1,3,30,124.53,0.15,2.7,0,0,0,0,18.3,89.61,987,0,0,0,0,20.1,78,0.7000000000000001
2010,1,1,4,30,110.77,0.15,2.7,0,0,0,0,18,89.3,987,0,0,0,0,19.8,65,0.8
2010,1,1,5,30,96.98,0.15,2.7,0,0,0,0,17.7,86.94,988,0,0,0,0,19.900000000000002,54,0.7000000000000001
2010,1,1,6,30,83.2,0.15,2.7,36,46,41,0,18.6,86.06,989,36,46,0,41,21,43,1
2010,1,1,7,30,69.91,0.15,2.7,153,245,237,0,18.7,77.42,989,153,245,0,237,22.900000000000002,32,1.1
2010,1,1,8,30,57.120000000000005,0.15,2.7,226,406,447,0,20,71.35000000000001,990,226,406,0,447,25.6,132,0.6000000000000001
2010,1,1,9,30,45.410000000000004,0.15,2.7,261,534,636,0,20.8,64.71000000000001,989,261,534,0,636,28.1,186,0.30000000000000004
2010,1,1,10,30,35.9,0.15,2.8000000000000003,281,598,765,0,19.700000000000003,56.370000000000005,988,281,598,0,765,29.3,120,0.30000000000000004
2010,1,1,11,30,30.740000000000002,0.15,2.8000000000000003,288,626,826,0,19.200000000000003,52.81,988,288,626,0,826,29.900000000000002,103,0.5
2010,1,1,12,30,32.12,0.15,2.8000000000000003,299,596,804,0,19,51.79,987,299,596,0,804,30,100,0.7000000000000001
2010,1,1,13,30,39.34,0.15,2.8000000000000003,283,560,716,0,18.900000000000002,51.51,986,283,560,0,716,30,100,0.7000000000000001
2010,1,1,14,30,49.93,0.15,2.8000000000000003,251,485,563,0,19,52.2,986,251,485,0,563,29.8,107,0.7000000000000001
2010,1,1,15,30,62.17,0.15,2.8000000000000003,197,358,365,0,19,54.13,986,197,358,0,365,29.200000000000003,123,0.6000000000000001
2010,1,1,16,30,75.22,0.15,2.8000000000000003,107,168,150,0,19.200000000000003,60.51,986,107,168,0,150,27.5,150,0.6000000000000001
2010,1,1,17,30,88.47,0.15,2.8000000000000003,2,1,3,0,20.700000000000003,75.32000000000001,987,2,1,0,3,25.400000000000002,171,0.8
2010,1,1,18,30,102.52,0.15,2.8000000000000003,0,0,0,0,20.1,79.53,988,0,0,0,0,23.900000000000002,177,0.9
2010,1,1,19,30,116.32000000000001,0.15,2.9000000000000004,0,0,0,0,20.200000000000003,84.79,988,0,0,0,0,22.900000000000002,180,1
2010,1,1,20,30,130.03,0.15,2.9000000000000004,0,0,0,0,20.1,87.61,988,0,0,0,0,22.3,182,1
2010,1,1,21,30,143.4,0.15,2.9000000000000004,0,0,0,0,20.1,88.81,988,0,0,0,0,22,185,1
2010,1,1,22,30,155.65,0.15,3,0,0,0,0,20,88.23,988,0,0,0,0,22,188,0.9
2010,1,1,23,30,163.9,0.15,3.1,0,0,0,1,19.900000000000002,88.06,988,0,0,0,0,22,196,0.7000000000000001
2010,1,2,0,30,161.53,0.15,3.2,0,0,0,0,20,87.7,987,0,0,0,0,22.1,215,0.5
2010,1,2,1,30,151.06,0.15,3.3000000000000003,0,0,0,0,20,88.66,987,0,0,0,0,22,274,0.30000000000000004
2010,1,2,2,30,138.20000000000002,0.15,3.3000000000000003,0,0,0,0,20,91.10000000000001,987,0,0,0,0,21.5,339,0.4
2010,1,2,3,30,124.65,0.15,3.4000000000000004,0,0,0,0,20,94.75,987,0,0,0,0,20.900000000000002,183,0.6000000000000001
2010,1,2,4,30,110.88,0.15,3.4000000000000004,0,0,0,0,19.900000000000002,97.98,988,0,0,0,0,20.200000000000003,9,0.8
2010,1,2,5,30,97.08,0.15,3.4000000000000004,0,0,0,0,19.6,96.35000000000001,988,0,0,0,0,20.200000000000003,11,0.9
2010,1,2,6,30,83.29,0.15,3.4000000000000004,31,34,35,0,20.1,92.32000000000001,989,31,34,0,35,21.400000000000002,12,1.3
2010,1,2,7,30,69.99,0.15,3.3000000000000003,153,210,225,0,20.200000000000003,82.59,989,153,210,0,225,23.3,182,1.5
2010,1,2,8,30,57.18,0.15,3.2,237,371,438,1,21.200000000000003,75.79,989,237,371,0,438,25.8,326,1.3
2010,1,2,9,30,45.44,0.15,3.2,227,614,657,0,22,69.16,989,227,614,0,657,28.200000000000003,303,1.5
2010,1,2,10,30,35.89,0.15,3.2,238,682,790,0,21.8,62.93,988,238,682,0,790,29.6,308,1.5
2010,1,2,11,30,30.67,0.15,3.2,237,715,852,0,21.6,59.67,987,237,715,0,852,30.3,314,1.4000000000000001
2010,1,2,12,30,32,0.15,3.2,257,672,826,0,21.200000000000003,57.35,986,257,672,0,826,30.6,319,1.3
2010,1,2,13,30,39.2,0.15,3.2,242,642,739,0,20.8,56,985,242,642,0,739,30.6,324,1.1
2010,1,2,14,30,49.79,0.15,3.2,216,576,587,0,20.5,55.61,985,216,576,0,587,30.400000000000002,320,0.8
2010,1,2,15,30,62.03,0.15,3.2,173,458,388,0,20.5,56.92,985,173,458,0,388,30,297,0.5
2010,1,2,16,30,75.09,0.15,3.1,104,256,170,0,19.8,58.730000000000004,986,104,256,0,170,28.700000000000003,245,0.5
2010,1,2,17,30,88.36,0.15,3.1,5,4,5,1,21,70.75,986,5,4,0,5,26.8,206,0.7000000000000001
2010,1,2,18,30,102.41,0.15,3.1,0,0,0,1,20.8,77.04,987,0,0,0,0,25.1,202,1
2010,1,2,19,30,116.22,0.15,3.1,0,0,0,1,21.1,84.38,988,0,0,0,0,23.900000000000002,202,1
2010,1,2,20,30,129.94,0.15,3.1,0,0,0,0,21.1,88.2,988,0,0,0,0,23.200000000000003,203,1
2010,1,2,21,30,143.32,0.15,3.2,0,0,0,8,21.1,89.72,988,0,0,0,0,22.900000000000002,206,0.9
2010,1,2,22,30,155.62,0.15,3.2,0,0,0,1,21,90.31,988,0,0,0,0,22.700000000000003,211,0.8
2010,1,2,23,30,163.96,0.15,3.3000000000000003,0,0,0,8,21,90.08,988,0,0,0,0,22.700000000000003,227,0.6000000000000001
2010,1,3,0,30,161.67000000000002,0.15,3.3000000000000003,0,0,0,3,21,91.16,987,0,0,0,0,22.5,269,0.5
2010,1,3,1,30,151.19,0.15,3.3000000000000003,0,0,0,0,20.900000000000002,94.05,987,0,0,0,0,21.900000000000002,315,0.5
2010,1,3,2,30,138.33,0.15,3.3000000000000003,0,0,0,0,20.700000000000003,96.31,987,0,0,0,0,21.3,339,0.7000000000000001
2010,1,3,3,30,124.77,0.15,3.2,0,0,0,0,20.3,98.45,987,0,0,0,0,20.6,353,0.8
2010,1,3,4,30,110.98,0.15,3.1,0,0,0,3,19.900000000000002,99.41,987,0,0,0,0,20,184,0.8
2010,1,3,5,30,97.18,0.15,3.1,0,0,0,8,19.400000000000002,95.62,988,0,0,0,0,20.1,12,0.9
2010,1,3,6,30,83.38,0.15,3,39,67,47,3,19.8,90.4,989,39,67,5,47,21.400000000000002,19,1.4000000000000001
2010,1,3,7,30,70.06,0.15,2.9000000000000004,139,326,250,0,19.5,78.05,989,139,326,0,250,23.6,20,1.5
2010,1,3,8,30,57.24,0.15,2.8000000000000003,196,507,470,1,20.5,70.27,989,196,507,0,470,26.3,178,0.9
2010,1,3,9,30,45.47,0.15,2.8000000000000003,225,621,660,1,20.400000000000002,60.870000000000005,988,225,621,0,660,28.700000000000003,348,0.6000000000000001
2010,1,3,10,30,35.87,0.15,2.8000000000000003,238,686,794,0,19.900000000000002,54.57,988,238,686,0,794,30,191,0.6000000000000001
2010,1,3,11,30,30.6,0.15,2.8000000000000003,238,717,855,0,19.5,50.96,987,238,717,0,855,30.8,36,0.6000000000000001
2010,1,3,12,30,31.87,0.15,2.9000000000000004,254,679,830,0,19.200000000000003,49.2,986,254,679,0,830,31.1,50,0.7000000000000001
2010,1,3,13,30,39.06,0.15,2.9000000000000004,239,649,743,0,19,48.47,985,239,649,0,743,31.1,56,0.7000000000000001
2010,1,3,14,30,49.65,0.15,2.9000000000000004,214,581,590,0,18.900000000000002,48.800000000000004,985,214,581,0,590,30.900000000000002,66,0.5
2010,1,3,15,30,61.9,0.15,2.9000000000000004,168,477,393,0,19.3,51.86,985,168,477,0,393,30.3,95,0.4
2010,1,3,16,30,74.96000000000001,0.15,3,103,265,171,0,19.1,55.370000000000005,986,103,265,0,171,28.900000000000002,140,0.5
2010,1,3,17,30,88.25,0.15,3,5,6,5,0,19.900000000000002,64.74,986,5,6,0,5,27.1,175,0.7000000000000001
2010,1,3,18,30,102.3,0.15,3.1,0,0,0,0,19.8,70.73,987,0,0,0,0,25.5,187,1
2010,1,3,19,30,116.12,0.15,3.1,0,0,0,0,20.3,78.44,988,0,0,0,0,24.3,189,1
2010,1,3,20,30,129.86,0.15,3.2,0,0,0,0,20.6,83.06,988,0,0,0,0,23.6,188,1
