Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,464180,-,-,-,7.45,3.9,0,213,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2009,1,1,0,30,161.44,0.14,2.6,0,0,0,0,17.3,82.16,987,0,0,0,0,20.400000000000002,46,1
2009,1,1,1,30,150.96,0.14,2.5,0,0,0,0,16.6,82.44,987,0,0,0,0,19.700000000000003,49,1
2009,1,1,2,30,138.11,0.14,2.4000000000000004,0,0,0,0,16,83.77,986,0,0,0,0,18.8,53,1
2009,1,1,3,30,124.57000000000001,0.14,2.4000000000000004,0,0,0,0,15.5,85.29,987,0,0,0,0,18,56,1.1
2009,1,1,4,30,110.8,0.14,2.4000000000000004,0,0,0,0,14.8,85.23,987,0,0,0,0,17.3,57,1.3
2009,1,1,5,30,97.01,0.14,2.4000000000000004,0,0,0,0,14.100000000000001,81.29,987,0,0,0,0,17.3,56,1.6
2009,1,1,6,30,83.23,0.14,2.4000000000000004,26,10,27,0,14.200000000000001,74.42,988,26,10,0,27,18.8,54,2.3000000000000003
2009,1,1,7,30,69.93,0.14,2.5,164,149,215,0,13.8,64.11,988,164,149,0,215,20.8,53,2.7
2009,1,1,8,30,57.14,0.14,2.5,262,301,426,0,15,59.4,988,262,301,0,426,23.400000000000002,58,2.3000000000000003
2009,1,1,9,30,45.42,0.14,2.6,289,479,625,0,17.1,56.4,988,289,479,0,625,26.5,78,2
2009,1,1,10,30,35.9,0.14,2.7,314,541,752,0,17.400000000000002,50.7,987,314,541,0,752,28.6,98,2.1
2009,1,1,11,30,30.73,0.14,2.8000000000000003,323,568,811,0,17.7,48.88,987,323,568,0,811,29.6,108,2.2
2009,1,1,12,30,32.09,0.14,3,376,456,762,1,18.2,49.53,986,376,456,0,762,29.900000000000002,115,2.2
2009,1,1,13,30,39.31,0.14,3.1,350,421,676,8,18.7,51.51,985,493,191,0,641,29.8,120,2.2
2009,1,1,14,30,49.89,0.14,3.2,303,351,529,0,19.3,54.51,985,303,351,0,529,29.400000000000002,124,1.9000000000000001
2009,1,1,15,30,62.13,0.14,3.3000000000000003,232,194,323,7,20.3,62.03,985,284,39,0,302,28.3,127,1.4000000000000001
2009,1,1,16,30,75.18,0.14,3.3000000000000003,103,66,120,8,21.700000000000003,76.35000000000001,985,103,66,5,120,26.200000000000003,134,1.1
2009,1,1,17,30,88.44,0.14,3.4000000000000004,1,0,1,7,22,87.76,986,1,0,5,1,24.200000000000003,143,1
2009,1,1,18,30,102.49000000000001,0.14,3.4000000000000004,0,0,0,8,21.400000000000002,89.09,987,0,0,0,0,23.3,150,1
2009,1,1,19,30,116.29,0.14,3.4000000000000004,0,0,0,8,21.5,92.13,987,0,0,0,0,22.8,155,1
2009,1,1,20,30,130.01,0.14,3.5,0,0,0,8,21.6,95.39,988,0,0,0,0,22.400000000000002,158,1
2009,1,1,21,30,143.37,0.14,3.5,0,0,0,7,21.8,98.3,988,0,0,0,0,22.1,160,0.9
2009,1,1,22,30,155.64000000000001,0.14,3.5,0,0,0,8,21.900000000000002,100,988,0,0,0,0,21.900000000000002,162,0.9
2009,1,1,23,30,163.91,0.14,3.5,0,0,0,8,22,100,987,0,0,0,0,22,164,0.8
